collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,original.genus_reso,original.genus_name,collection.reference_no,10_my_bin
14465,Fossilworks,"J. Alroy",,Richardoestesia,,,2237,"Cretaceous 7"
14470,Fossilworks,"J. Alroy",,Edmontonia,,,2602,"Cretaceous 7"
14470,Fossilworks,"J. Alroy",,Euoplocephalus,,,2602,"Cretaceous 7"
14470,Fossilworks,"J. Alroy",,Stegoceras,,,2602,"Cretaceous 7"
14482,Fossilworks,"J. Alroy",,Saurornitholestes,,,30644,"Cretaceous 7"
14488,Fossilworks,"J. Alroy",,Richardoestesia,,,3010,"Cretaceous 7"
14488,Fossilworks,"J. Alroy",,Richardoestesia,,,3010,"Cretaceous 7"
14488,Fossilworks,"J. Alroy",,Saurornitholestes,,,3010,"Cretaceous 7"
14489,Fossilworks,"J. Alroy",cf.,Struthiomimus,,,2988,"Cretaceous 7"
14489,Fossilworks,"J. Alroy",,Ornithomimus,,,2988,"Cretaceous 7"
14489,Fossilworks,"J. Alroy",,Leptorhynchos,,,2988,"Cretaceous 7"
14489,Fossilworks,"J. Alroy",,Richardoestesia,cf.,Richardoestesia,2988,"Cretaceous 7"
14489,Fossilworks,"J. Alroy",,Saurornitholestes,cf.,Saurornitholestes,2988,"Cretaceous 7"
14490,Fossilworks,"J. Alroy",,Troodon,,,1487,"Cretaceous 7"
14490,Fossilworks,"J. Alroy",,Saurornitholestes,,,1487,"Cretaceous 7"
14491,Fossilworks,"J. Alroy",,Stegoceras,,,2602,"Cretaceous 7"
14492,Fossilworks,"J. Alroy",,Euoplocephalus,,,2602,"Cretaceous 7"
14492,Fossilworks,"J. Alroy",,Albertosaurus,,,2602,"Cretaceous 7"
14494,Fossilworks,"J. Alroy",,Stegoceras,,,3313,"Cretaceous 7"
14494,Fossilworks,"J. Alroy",,Edmontonia,,,3313,"Cretaceous 7"
14494,Fossilworks,"J. Alroy",,Troodon,,,3313,"Cretaceous 7"
14494,Fossilworks,"J. Alroy",,Albertosaurus,,,3313,"Cretaceous 7"
14494,Fossilworks,"J. Alroy",,Panoplosaurus,,,3313,"Cretaceous 7"
14502,Fossilworks,"J. Alroy",,Edmontonia,,,13943,"Cretaceous 8"
14505,Fossilworks,"J. Alroy",,Pectinodon,,Troodon,3880,"Cretaceous 8"
14505,Fossilworks,"J. Alroy",cf.,Paronychodon,cf.,Paronychodon,3880,"Cretaceous 8"
14505,Fossilworks,"J. Alroy",,Edmontosaurus,,Anatosaurus,3880,"Cretaceous 8"
14505,Fossilworks,"J. Alroy",,Triceratops,,,3880,"Cretaceous 8"
14505,Fossilworks,"J. Alroy",,Richardoestesia,,,3880,"Cretaceous 8"
14505,Fossilworks,"J. Alroy",,Aublysodon,,Aublysodon,3880,"Cretaceous 8"
14507,Fossilworks,"J. Alroy",,Richardoestesia,,,960,"Cretaceous 8"
14507,Fossilworks,"J. Alroy",,Chirostenotes,,,960,"Cretaceous 8"
14508,Fossilworks,"J. Alroy",cf.,Pectinodon,,Troodon,960,"Cretaceous 8"
14508,Fossilworks,"J. Alroy",,Richardoestesia,,,960,"Cretaceous 8"
14513,Fossilworks,"J. Alroy",,Paronychodon,,,960,"Cretaceous 8"
14514,Fossilworks,"J. Alroy",,Ankylosaurus,,,1129,"Cretaceous 8"
14514,Fossilworks,"J. Alroy",,Paronychodon,,Paronychodon,1129,"Cretaceous 8"
14514,Fossilworks,"J. Alroy",,Dromaeosaurus,,,1129,"Cretaceous 8"
14515,Fossilworks,"J. Alroy",,Richardoestesia,,,3198,"Cretaceous 8"
14515,Fossilworks,"J. Alroy",,Chirostenotes,,,3198,"Cretaceous 8"
14515,Fossilworks,"J. Alroy","n. gen.",Avisaurus,,,3198,"Cretaceous 8"
14516,Fossilworks,"J. Alroy",,Troodon,,,962,"Cretaceous 8"
14516,Fossilworks,"J. Alroy",,Paronychodon,,,962,"Cretaceous 8"
14516,Fossilworks,"J. Alroy",,Triceratops,,,962,"Cretaceous 8"
14517,Fossilworks,"J. Alroy",,Cimolopteryx,,,962,"Cretaceous 8"
14518,Fossilworks,"J. Alroy",,Alamosaurus,,,23604,"Cretaceous 8"
14519,Fossilworks,"J. Alroy",,Richardoestesia,,,1239,"Cretaceous 8"
14519,Fossilworks,"J. Alroy",,Paronychodon,,Paronychodon,1239,"Cretaceous 8"
14519,Fossilworks,"J. Alroy",,Troodon,,Saurornithoides,1239,"Cretaceous 8"
14519,Fossilworks,"J. Alroy","n. gen.",Pectinodon,,,1239,"Cretaceous 8"
14519,Fossilworks,"J. Alroy",,Cimolopteryx,,,1239,"Cretaceous 8"
14519,Fossilworks,"J. Alroy",,Cimolopteryx,,,1239,"Cretaceous 8"
14519,Fossilworks,"J. Alroy",,Aublysodon,cf.,Dryptosaurus,1239,"Cretaceous 8"
14519,Fossilworks,"J. Alroy",,Thescelosaurus,,Thescelosaurus,1239,"Cretaceous 8"
14521,Fossilworks,"J. Alroy",,Richardoestesia,,,960,"Cretaceous 8"
14521,Fossilworks,"J. Alroy",,Troodon,,,960,"Cretaceous 8"
14522,Fossilworks,"J. Alroy",cf.,Dryptosaurus,,,1239,"Cretaceous 8"
14525,Fossilworks,"J. Alroy",,Richardoestesia,,,960,"Cretaceous 8"
